ids,screen_name,followers,retweet,inreplyto, favorite,friends, listed, location,text
140535143,nytherapy,162,0,,0,564,13,New York City,"Patience (or is it Fortitude?) decked out in mask and wreath for his 2020 Christmas.
.
#christmas #fifthavenue https://t.co/4mHasfc4Xo"
1.18237E+18,StToes,849,43,,0,2189,0,,RT @CaptainLives: Did you wear a mask at Thanksgiving dinner?
1852520498,NormanisShining,270,0,,0,219,0,,#HappyThanksgiving! We socially distanced (even tho my dumbass forgot my mask ) and we didnt do turkey this year https://t.co/7lOsWt6DWY
1.00519E+18,luvelisee,535,0,,1,691,0,ga,nigel one funny mf @Ibechillin3 he said before you hop in the hellcat you gotta take the mask off. BYE
1252442611,travel5762,12747,747,,0,12971,12,Somewhere Out South,RT @donwinslow: Florida governor Ron DeSantis accused of killing spree after extending ban on cities from imposing own mask mandates http
3160341662,smurkark,40,634,,0,158,0,,RT @dnlrntr: wear a mask or awaken the old ones https://t.co/24u70kQ880
9.05614E+17,Jonas_Genovez,13,483,,0,15,0,,"RT @DailyCaller: Florida Governor Extends Ban On Local Enforcement Of Mask Mandates, Business Restrictions https://t.co/YW4Q91AT4e"
9.32437E+17,PrometeoNews,746,9,,0,1430,1,,RT @RT_com: Trump is not a dignified person about whom obscene rumors circulate; he is an openly obscene person who wants his obscenity to
2736456181,alo_vera_,791,396,,0,795,7,htx,RT @ayuni_hamdan: Still felt surreal that I finally made my own embroidery face mask  took some time to sew the flowers &amp; I'm glad I did
578898780,arusakow,68,22074,,0,147,0,,"RT @BarackObama: Lets all do our part this Thanksgiving to keep people safe and healthy. Celebrate virtually, if you can. Wear a mask. And"
1831079480,smaloney924,911,0,DebraMessing,0,1071,2,United States,"@DebraMessing Floridans, if you think your governor cares if you live or die, think again. You need to take legal a https://t.co/oBHF5pIXoW"
890578591,cosmiictea,277,793,,0,1303,9,,RT @huujuudoodles: Does anyone ever noticed the mask on top??? https://t.co/6AN4htCURU
150661180,ChildOfAlba,9723,5,,0,9079,12,Scotland: Nation of Lions,"RT @SuzJamieson: What ""mask"" are you wittering on about? Most of the time you're bleating that ""the SNP are obsessed with independence!"" (W"
27942008,francine9128,115,0,,0,217,2,,I actually did a full face of makeup (instead of just the usual eyes) &amp; lipstick. I cant wait to be rid of the mas https://t.co/0e95e0vBiC
41961365,joelstarnes,724,0,Comm4JDJohnson,0,1184,6,Texas,@Comm4JDJohnson Hows that working? Almost 6 months of your wear a mask propaganda and the case count is still ri https://t.co/io2YYQ5XFF
2230455894,bardhub,46,9260,,0,284,2,Southwestern Virginia,"RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
4843235387,BigGene10,166,20,,0,87,0,,RT @ConorONeillNOO: Matt Stafford's wife: Thinks she lives in a dictatorship because she has to wear a mask and wants to support small busi
1.15782E+18,lll_netito,23,0,JobbytheHong,2,251,0,,@JobbytheHong The mask is back.
7078452,MikeRodriquez,482,9260,,0,484,31,"Little Sweden, Lindsborg KS","RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
4740106614,SquirrelWestend,1730,1,,0,3850,17,West End,"I'm 99% sure L.A. covid rates will be soaring from all the tourists, peeps traveling and none mask wearers out today."
62672902,Siahtt,194,8,,0,446,1,Brasil,"RT @BrianMteleSUR: Brazilian right wing hate comic Danilo Gentili, who the Guardian once mischaracterized as a ""social movement leader"" use"
3050754969,ruthlynn27_lynn,40,0,FLOTUS,0,106,0,,@FLOTUS @WhiteHouse Wear a dam mask.  !!!!
1.21367E+18,KatieRedvoteblu,4400,0,DanielEBennett,0,4382,4,"Massachusetts, USA",@DanielEBennett @GretaKae Mask scorners 
9.54945E+17,evlyricsbot,22,0,,0,7,0,,"Without the mask, where will you hide? Can't find yourself, lost in your lie."
9.23058E+17,EnMiRanchito,44,2440,,0,528,0,,"RT @DrEricDing: Florida @GovRonDeSantis Extends Ban On Cities Imposing Their Own Mask MandatesCritic Calls Move A Killing Spree. 

I. Ha"
1.26527E+18,IkhsanAdriansy7,0,0,Immoooortals,0,2,0,,@Immoooortals Always carry senpai s mask  and also keep your distance.avoid people who cough.
17857879,gsridergirl,44,0,SuzeQKnits,2,202,0,"Michigan, USA",@SuzeQKnits @mmpadellan For this Im grateful for mask wearing among other things
